ramzinex_pair_id,nobitex_symbol
2,BTCIRT
11,USDTIRT
10,DOGEIRT
96,SOLIRT
33,ADAIRT
51,FILIRT
136,COMPIRT
42,ATOMIRT
40,CHZIRT
36,AAVEIRT
34,UNIIRT
3,ETHIRT
29,DOTIRT
4,XRPIRT
23,BCHIRT
25,TRXIRT
5,LTCIRT
17,BNBIRT
19,XLMIRT
21,ETCIRT
26,LINKIRT
12,BTCUSDT
13,ETHUSDT
37,AAVEUSDT
31,DOTUSDT
24,BCHUSDT
27,TRXUSDT
15,LTCUSDT
18,BNBUSDT
22,ETCUSDT
38,LINKUSDT
35,UNIUSDT
43,ATOMUSDT
257,EGLDIRT
258,LRCIRT
267,NEARIRT
269,CELRIRT
282,GRTIRT
283,XTZIRT
285,CRVIRT
290,OMGIRT
298,APEIRT
299,GMTIRT
310,USDCIRT
311,FLOWIRT
314,QNTIRT
318,JSTIRT
320,GALIRT
321,API3IRT
322,ENSIRT
324,SUSHIIRT
71,MATICIRT
76,EOSIRT
336,WOOIRT
337,LDOIRT
86,1INCHIRT
346,IMXIRT
349,STORJIRT
350,TIRT
352,BLURIRT
354,BICOIRT
355,RNDRIRT
358,MASKIRT
360,ARBIRT
363,MATICUSDT
364,MASKUSDT
365,LDOUSDT
370,GMXIRT
371,MAGICIRT
374,SNXIRT
376,WLDIRT
384,SNTIRT
390,GLMIRT
391,SKLIRT
141,MKRIRT
146,MANAIRT
152,ONEIRT
158,ADAUSDT
164,FILUSDT
170,COMPUSDT
176,MKRUSDT
218,SOLUSDT
224,EOSUSDT
230,1INCHUSDT
237,FTMIRT
238,FTMUSDT
239,DAIIRT
240,DAIUSDT
242,MANAUSDT
243,AXSIRT
245,AXSUSDT
246,SLPIRT
247,ENJIRT
248,SANDIRT
249,GALAIRT
251,DYDXIRT
253,BATIRT
255,AVAXIRT
