ramzinex_pair_id,mexc_symbol,mexc/ramzinex
12,BTCUSDT,1
13,ETHUSDT,1
37,AAVEUSDT,1
31,DOTUSDT,1
24,BCHUSDT,1
27,TRXUSDT,1
15,LTCUSDT,1
18,BNBUSDT,1
22,ETCUSDT,1
38,LINKUSDT,1
35,UNIUSDT,1
43,ATOMUSDT,1
362,FTTUSDT,1
363,MATICUSDT,1
364,MASKUSDT,1
365,LDOUSDT,1
393,USTCUSDT,1
158,ADAUSDT,1
164,FILUSDT,1
170,COMPUSDT,1
176,MKRUSDT,1
182,BSVUSDT,1
188,KSMUSDT,1
194,CAKEUSDT,1
206,BURGERUSDT,1
212,ICPUSDT,1
218,SOLUSDT,1
224,EOSUSDT,1
230,1INCHUSDT,1
236,SXPUSDT,1
238,FTMUSDT,1
240,DAIUSDT,1
242,MANAUSDT,1
245,AXSUSDT,1
